Date,Time,Home,HG,HxGt,HxGp,Away,AG,AxGt,AxGp,GD,xGDt,xGDp,Final,HxPts,AxPts
2024-03-21,,CHA (USL1),4,,,Brockton FC United,2,,,,,,,,
2024-03-21,,Rapids 2,3,,,Azteca FC,0,,,,,,,,
2024-03-21,,Lubbock Matadors SC,2,,,Arizona Monsoon FC,1,,,,,,,,
2024-03-21,,Galaxy II,2,,,Irvine Zeta 2,1,,,,,,,,
2024-04-02,,RIC (USL1),5,,,Maryland Bobcats FC,2,,,,,,,,
2024-04-02,,New York City FC II,4,,,NY Red Bulls II,2,,,,,,,,
2024-04-02,,CLTI (USL1),0,,,South Carolina United Heat,0,,,,,,,,
2024-04-03,,Miami United FC,2,,,Club de Lyon FC,0,,,,,,,,
2024-04-03,,Vermont Green FC,1,,,Carolina Core FC,2,,,,,,,,
2024-04-03,,TRM (USL1),4,,,Savannah Clovers FC,0,,,,,,,,
2024-04-03,,KNX (USL1),2,,,GVL (USL1),3,,,,,,,,
2024-04-02,,Minn Utd 2,0,,,Michigan Stars FC,2,,,,,,,,
2024-04-02,,Lubbock Matadors SC,2,,,Foro SC,0,,,,,,,,
2024-04-02,,CVF (USL1),1,,,El Farolito,2,,,,,,,,
2024-04-03,,Apotheos FC,0,,,CHA (USL1),1,,,,,,,,
2024-04-03,,Chicago Fire II,2,,,MAD (USL1),0,,,,,,,,
2024-04-03,,Rapids 2,2,,,NCO (USL1),3,,,,,,,,
2024-04-03,,SPO (USL1),1,,,Los Angeles Force,0,,,,,,,,
2024-04-03,,Galaxy II,0,,,Irvine Zeta,3,,,,,,,,
2024-04-03,,OMA (USL1),3,,,Des Moines Menace,1,,,,,,,,
2024-04-16,,LOU (USL),3,,,GVL (USL1),1,,,,,,,,
2024-04-16,,CLTI (USL1),4,,,RI (USL),4,,,,,,,,
2024-04-16,,DET (USL),1,,,Michigan Stars FC,0,,,,,,,,
2024-04-17,,MEM (USL),2,,,Miami United FC,0,,,,,,,,
2024-04-17,,NC (USL1),1,,,Carolina Core FC,0,,,,,,,,
2024-04-17,,RIC (USL1),0,,,LDN (USL),0,,,,,,,,
2024-04-17,,HFD (USL),2,,,New York City FC II,3,,,,,,,,
2024-04-16,,NM (USL),3,,,Lubbock Matadors SC,1,,,,,,,,
2024-04-16,,Roots,2,,,El Farolito,1,,,,,,,,
2024-04-17,,MIA (USL),2,,,TRM (USL1),4,,,,,,,,
2024-04-17,,Chicago Fire II,0,,,IND (USL),1,,,,,,,,
2024-04-17,,BHM (USL),4,,,CHA (USL1),2,,,,,,,,
2024-04-17,,TUL (USL),2,,,NCO (USL1),1,,,,,,,,
2024-04-17,,OMA (USL1),0,,,ELP (USL),0,,,,,,,,
2024-04-17,,MB (USL),2,,,Irvine Zeta,1,,,,,,,,
2024-04-17,,LV (USL),2,,,SPO (USL1),1,,,,,,,,
2024-05-07,,PIT (USL),0,,,TUL (USL),1,,,,,,,,
2024-05-07,,ATL,3,,,CLTI (USL1),0,,,,,,,,
2024-05-07,,SJE,1,,,Roots,0,,,,,,,,
2024-05-07,,OC (USL),1,,,LDN (USL),2,,,,,,,,
2024-05-08,,CHS (USL),3,,,TRM (USL1),2,,,,,,,,
2024-05-07,,HOU,3,,,DET (USL),3,,,,,,,,
2024-05-08,,IND (USL),2,,,SA (USL),0,,,,,,,,
2024-05-08,,NC (USL1),1,,,PHX (USL),2,,,,,,,,
2024-05-08,,TBR (USL),6,,,BHM (USL),4,,,,,,,,
2024-05-07,,SAC (USL),2,,,MB (USL),0,,,,,,,,
2024-05-07,,FCD,1,,,MEM (USL),0,,,,,,,,
2024-05-08,,New York City FC II,1,,,COS (USL),0,,,,,,,,
2024-05-08,,OMA (USL1),1,,,SKC,2,,,,,,,,
2024-05-08,,NM (USL),4,,,RSL,2,,,,,,,,
2024-05-08,,LV (USL),1,,,LAFC,3,,,,,,,,
2024-05-08,,SEA,2,,,LOU (USL),2,,,,,,,,
2024-05-21,,CHS (USL),0,,,ATL,0,,,,,,,,
